proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,reconstruction_error,is_anomaly,severity,threshold,attack_type
udp,-,INT,2,0,168,0,125000.0003,254,0,0.082089,1,MEDIUM,0.05,Reconnaissance
udp,-,INT,2,0,1064,0,100000.0025,254,0,0.02304,0,NORMAL,0.05,Normal
tcp,-,FIN,10,6,1550,268,11.346539,254,252,0.219944,1,CRITICAL,0.05,Fuzzers
tcp,-,FIN,90,92,5174,83812,3486.065446,31,29,0.019767,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.272967,1,CRITICAL,0.05,Generic
tcp,-,FIN,122,126,7820,15736,244.344937,31,29,0.023016,0,NORMAL,0.05,Normal
udp,dns,CON,2,2,146,178,2964.426812,31,29,0.034639,0,NORMAL,0.05,Normal
udp,dns,CON,2,2,120,798,55.261848,62,252,0.213748,1,CRITICAL,0.05,Exploits
tcp,-,FIN,16,14,922,728,11.228016,254,252,0.227529,1,CRITICAL,0.05,Fuzzers
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.062805,1,LOW,0.05,Generic
tcp,http,FIN,10,6,984,268,39.847623,254,252,0.083929,1,MEDIUM,0.05,Exploits
tcp,-,FIN,10,6,534,268,28.241568,254,252,0.145424,1,HIGH,0.05,Fuzzers
tcp,-,FIN,18,18,3960,2456,7282.563753,31,29,0.024663,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.184457,1,HIGH,0.05,Generic
unas,-,INT,2,0,200,0,142857.1409,254,0,0.164527,1,HIGH,0.05,Fuzzers
udp,-,INT,2,0,168,0,1000000.003,254,0,0.066221,1,LOW,0.05,Reconnaissance
tcp,pop3,FIN,24,46,1144,38084,88.558497,62,252,0.235059,1,CRITICAL,0.05,Exploits
unas,-,INT,2,0,200,0,1000000.003,254,0,0.120835,1,MEDIUM,0.05,Exploits
udp,-,INT,2,0,614,0,166666.6608,254,0,0.25807,1,CRITICAL,0.05,Fuzzers
udp,dns,INT,2,0,114,0,333333.3215,254,0,0.182686,1,HIGH,0.05,Generic
udp,dns,INT,2,0,114,0,333333.3215,254,0,0.236206,1,CRITICAL,0.05,Generic
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.194019,1,HIGH,0.05,Generic
fc,-,INT,2,0,200,0,111111.1072,254,0,0.200294,1,CRITICAL,0.05,DoS
ospf,-,INT,180,0,48960,0,2.995312,254,0,0.17489,1,HIGH,0.05,Analysis
tcp,pop3,FIN,40,162,1822,193911,115.235511,62,252,0.275211,1,CRITICAL,0.05,Exploits
tcp,http,FIN,10,8,850,1860,63.406337,62,252,0.119618,1,MEDIUM,0.05,Exploits
udp,dns,INT,2,0,114,0,500000.0013,254,0,0.2668,1,CRITICAL,0.05,Generic
tcp,smtp,FIN,42,22,31189,1922,53.143929,62,252,0.217611,1,CRITICAL,0.05,Exploits
udp,dns,INT,2,0,114,0,333333.3215,254,0,0.217815,1,CRITICAL,0.05,Generic
tcp,smtp,FIN,20,20,2276,1772,47.94901,62,252,0.255228,1,CRITICAL,0.05,Exploits
tcp,http,FIN,10,14,880,9528,27.3702,62,252,0.247061,1,CRITICAL,0.05,Exploits
tcp,-,FIN,40,42,2542,23508,1547.869336,31,29,0.031541,0,NORMAL,0.05,Normal
udp,-,CON,4,4,520,304,4302.396921,31,29,0.041118,0,NORMAL,0.05,Normal
udp,-,INT,2,0,1064,0,100000.0025,254,0,0.107357,1,MEDIUM,0.05,Fuzzers
tcp,-,FIN,18,24,1000,11954,14.15075,62,252,0.210378,1,CRITICAL,0.05,Exploits
tcp,-,REQ,2,0,90,0,333333.3215,254,0,0.013566,0,NORMAL,0.05,Normal
tcp,http,FIN,10,6,742,268,73.964131,254,252,0.168408,1,HIGH,0.05,Reconnaissance
udp,-,INT,2,0,304,0,111111.1072,254,0,0.193223,1,HIGH,0.05,Exploits
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.26323,1,CRITICAL,0.05,Generic
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.074691,1,LOW,0.05,Generic
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.271245,1,CRITICAL,0.05,Generic
udp,dns,INT,2,0,114,0,250000.0006,254,0,0.268053,1,CRITICAL,0.05,Generic
udp,snmp,INT,2,0,136,0,100000.0025,254,0,0.073352,1,LOW,0.05,DoS
tcp,-,FIN,10,6,534,268,14.605435,254,252,0.218743,1,CRITICAL,0.05,Fuzzers
tcp,http,FIN,10,10,816,1142,17.514797,62,252,0.097061,1,MEDIUM,0.05,Exploits
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.060516,1,LOW,0.05,Generic
udp,dns,INT,2,0,114,0,90909.0902,254,0,0.086933,1,MEDIUM,0.05,Generic
tcp,-,FIN,12,12,800,1944,52.461949,62,252,0.250373,1,CRITICAL,0.05,Exploits
tcp,ftp,FIN,12,12,632,682,10.899508,254,252,0.126378,1,HIGH,0.05,Fuzzers
tcp,-,FIN,14,8,8372,412,32.341128,254,252,0.137223,1,HIGH,0.05,Exploits
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.237226,1,CRITICAL,0.05,Generic
tcp,-,FIN,10,8,1612,354,32.954676,254,252,0.023195,0,NORMAL,0.05,Normal
tcp,-,FIN,52,54,3182,39076,5528.061549,31,29,0.045095,0,NORMAL,0.05,Normal
udp,-,INT,2,0,942,0,90909.0902,254,0,0.020854,0,NORMAL,0.05,Normal
tcp,-,FIN,18,18,3744,2456,7334.450941,31,29,0.023809,0,NORMAL,0.05,Normal
tcp,-,FIN,14,12,794,678,29.586499,254,252,0.006779,0,NORMAL,0.05,Normal
cftp,-,INT,2,0,200,0,333333.3215,254,0,0.099423,1,MEDIUM,0.05,Backdoor
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.184298,1,HIGH,0.05,Generic
udp,dns,CON,2,2,146,178,2702.702815,31,29,0.039202,0,NORMAL,0.05,Normal
rsvp,-,INT,2,0,200,0,111111.1072,254,0,0.21292,1,CRITICAL,0.05,Fuzzers
tcp,http,FIN,10,12,830,4678,13.087023,62,252,0.177808,1,HIGH,0.05,Exploits
tcp,-,FIN,12,8,1260,742,38.093558,254,252,0.094444,1,MEDIUM,0.05,Fuzzers
udp,dns,INT,2,0,114,0,200000.0051,254,0,0.234238,1,CRITICAL,0.05,Generic
udp,-,INT,2,0,1066,0,166666.6608,254,0,0.020498,0,NORMAL,0.05,Normal
tcp,ftp,FIN,14,12,810,682,7.803144,254,252,0.024389,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.201614,1,CRITICAL,0.05,Generic
aris,-,INT,2,0,200,0,125000.0003,254,0,0.119243,1,MEDIUM,0.05,Exploits
tcp,-,FIN,10,8,564,354,20.374678,254,252,0.175965,1,HIGH,0.05,Reconnaissance
tcp,-,FIN,10,8,564,354,16.808185,254,252,0.22413,1,CRITICAL,0.05,Reconnaissance
udp,dns,CON,2,2,132,164,2879.078645,31,29,0.019927,0,NORMAL,0.05,Normal
tcp,-,FIN,64,64,3806,51704,3256.493865,31,29,0.007849,0,NORMAL,0.05,Normal
dgp,-,INT,2,0,200,0,166666.6608,254,0,0.093906,1,MEDIUM,0.05,Exploits
tcp,-,FIN,10,8,534,354,22.313226,254,252,0.021056,0,NORMAL,0.05,Normal
unas,-,INT,2,0,200,0,333333.3215,254,0,0.213613,1,CRITICAL,0.05,Analysis
tcp,http,FIN,24,80,2374,101214,83.268791,62,252,0.249687,1,CRITICAL,0.05,Exploits
tcp,-,FIN,10,6,534,268,30.829625,254,252,0.019681,0,NORMAL,0.05,Normal
tcp,http,FIN,14,18,1684,10168,30.635682,31,29,0.014223,0,NORMAL,0.05,Normal
tcp,-,FIN,10,8,612,354,22.11713,254,252,0.268962,1,CRITICAL,0.05,Shellcode
ipv6-route,-,INT,2,0,200,0,333333.3215,254,0,0.156177,1,HIGH,0.05,Backdoor
tcp,http,FIN,14,18,1684,10168,27.25428,31,29,0.022262,0,NORMAL,0.05,Normal
udp,dns,CON,2,2,146,178,2857.142959,31,29,0.011706,0,NORMAL,0.05,Normal
snp,-,INT,2,0,200,0,166666.6608,254,0,0.055655,1,LOW,0.05,Reconnaissance
tcp,-,FIN,26,72,1364,71942,28.305317,62,252,0.238186,1,CRITICAL,0.05,Exploits
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.225555,1,CRITICAL,0.05,Generic
tcp,-,FIN,108,624,4884,799648,92.397461,62,252,0.259022,1,CRITICAL,0.05,Exploits
udp,dns,INT,2,0,114,0,333333.3215,254,0,0.093142,1,MEDIUM,0.05,Generic
pnni,-,INT,2,0,200,0,111111.1072,254,0,0.189595,1,HIGH,0.05,Reconnaissance
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.160284,1,HIGH,0.05,Generic
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.26751,1,CRITICAL,0.05,Generic
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.235447,1,CRITICAL,0.05,Generic
arp,-,INT,1,0,46,0,0.0,0,0,0.032058,0,NORMAL,0.05,Normal
udp,dns,CON,2,2,130,162,2785.515187,31,29,0.005554,0,NORMAL,0.05,Normal
cbt,-,INT,4,0,360,0,2.935765,254,0,0.122815,1,MEDIUM,0.05,Exploits
tcp,pop3,FIN,20,20,962,3740,45.458573,62,252,0.181919,1,HIGH,0.05,Exploits
scps,-,INT,2,0,200,0,250000.0006,254,0,0.262212,1,CRITICAL,0.05,DoS
tcp,-,FIN,16,18,1540,1644,13.406694,31,29,0.024713,0,NORMAL,0.05,Normal
udp,-,CON,2,2,85,126,93.449215,254,60,0.278889,1,CRITICAL,0.05,Exploits
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.206829,1,CRITICAL,0.05,Generic
udp,-,INT,2,0,1064,0,100000.0025,254,0,0.013431,0,NORMAL,0.05,Normal
unas,-,INT,2,0,200,0,166666.6608,254,0,0.155193,1,HIGH,0.05,Exploits
unas,-,INT,2,0,200,0,111111.1072,254,0,0.209051,1,CRITICAL,0.05,DoS
tcp,http,FIN,10,8,822,1058,10.927037,62,252,0.214699,1,CRITICAL,0.05,Fuzzers
tcp,-,FIN,18,18,3936,2456,7473.841498,31,29,0.044203,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,1000000.003,254,0,0.12731,1,HIGH,0.05,Generic
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.240204,1,CRITICAL,0.05,Generic
udp,-,INT,2,0,104,0,0.0,254,0,0.026322,0,NORMAL,0.05,Normal
unas,-,INT,2,0,200,0,111111.1072,254,0,0.102667,1,MEDIUM,0.05,Exploits
unas,-,INT,2,0,200,0,111111.1072,254,0,0.202768,1,CRITICAL,0.05,Analysis
tcp,http,FIN,10,8,988,354,18.902961,254,252,0.189359,1,HIGH,0.05,Exploits
tcp,-,FIN,60,14,68183,612,98.590828,254,252,0.195317,1,HIGH,0.05,Fuzzers
tcf,-,INT,2,0,200,0,111111.1072,254,0,0.201239,1,CRITICAL,0.05,Exploits
tcp,-,FIN,40,42,2542,23508,4073.012455,31,29,0.008545,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.122207,1,MEDIUM,0.05,Generic
tcp,-,FIN,10,6,534,268,43.6577,254,252,0.070265,1,LOW,0.05,Fuzzers
tcp,-,FIN,16,10,972,556,34.545225,254,252,0.040124,0,NORMAL,0.05,Normal
leaf-1,-,INT,2,0,200,0,250000.0006,254,0,0.233328,1,CRITICAL,0.05,DoS
tcp,-,FIN,48,50,2974,30506,6111.391212,31,29,0.04355,0,NORMAL,0.05,Normal
tcp,http,FIN,10,6,960,268,21.482061,254,252,0.157914,1,HIGH,0.05,Exploits
udp,dns,INT,2,0,114,0,250000.0006,254,0,0.138785,1,HIGH,0.05,Generic
tcp,-,FIN,10,6,2516,268,20.654472,254,252,0.005982,0,NORMAL,0.05,Normal
udp,-,INT,2,0,168,0,111111.1072,254,0,0.23817,1,CRITICAL,0.05,Reconnaissance
arp,-,INT,1,0,46,0,0.0,0,0,0.017478,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,100000.0025,254,0,0.241656,1,CRITICAL,0.05,Generic
udp,-,INT,2,0,104,0,166666.6608,254,0,0.248967,1,CRITICAL,0.05,Fuzzers
udp,dns,INT,2,0,114,0,250000.0006,254,0,0.244697,1,CRITICAL,0.05,Generic
udp,dns,INT,2,0,114,0,166666.6608,254,0,0.222917,1,CRITICAL,0.05,Generic
unas,-,INT,2,0,200,0,333333.3215,254,0,0.256642,1,CRITICAL,0.05,Exploits
unas,-,INT,2,0,200,0,333333.3215,254,0,0.221661,1,CRITICAL,0.05,DoS
tcp,-,FIN,10,6,2516,268,23.082961,254,252,0.241973,1,CRITICAL,0.05,Fuzzers
swipe,-,INT,1,0,60,0,0.0,0,0,0.260646,1,CRITICAL,0.05,Exploits
tcp,http,FIN,10,6,1020,268,26.881047,254,252,0.198812,1,HIGH,0.05,Exploits
tcp,-,FIN,10,6,698,268,29.938806,254,252,0.269155,1,CRITICAL,0.05,Fuzzers
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.210164,1,CRITICAL,0.05,Generic
tcp,-,FIN,12,10,994,814,15.324251,254,252,0.057296,1,LOW,0.05,Fuzzers
tcp,smtp,FIN,50,24,41303,1988,107.66787,62,252,0.250847,1,CRITICAL,0.05,Exploits
tcp,http,FIN,10,6,780,268,68.075062,254,252,0.244947,1,CRITICAL,0.05,Reconnaissance
sctp,-,CON,4,2,728,384,4.637501,254,60,0.110365,1,MEDIUM,0.05,Exploits
udp,dns,INT,2,0,114,0,166666.6608,254,0,0.179989,1,HIGH,0.05,Generic
tcp,http,FIN,124,692,6626,962903,88.020399,62,252,0.215258,1,CRITICAL,0.05,Generic
tcp,-,FIN,10,8,564,354,27.124917,254,252,0.248709,1,CRITICAL,0.05,Reconnaissance
tcp,smtp,FIN,20,20,2618,1814,48.388117,62,252,0.056356,1,LOW,0.05,Exploits
tcp,ssh,FIN,108,114,9504,12298,8310.145165,31,29,0.045603,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,333333.3215,254,0,0.157664,1,HIGH,0.05,Generic
ospf,-,REQ,52,0,5616,0,0.878357,254,0,0.141206,1,HIGH,0.05,DoS
tcp,-,REQ,10,0,450,0,1.167575,254,0,0.037898,0,NORMAL,0.05,Normal
unas,-,INT,2,0,200,0,142857.1409,254,0,0.068314,1,LOW,0.05,DoS
tcp,-,FIN,12,8,3678,354,17.927793,254,252,0.041687,0,NORMAL,0.05,Normal
tcp,ftp-data,FIN,8,8,364,856,21.757104,62,252,0.058039,1,LOW,0.05,Exploits
udp,dns,CON,2,2,132,164,2803.738322,31,29,0.025335,0,NORMAL,0.05,Normal
tcp,-,FIN,438,858,24640,1094788,181.52967,31,29,0.023935,0,NORMAL,0.05,Normal
ospf,-,INT,42,0,1890,0,37.728591,254,0,0.234481,1,CRITICAL,0.05,DoS
tcp,-,FIN,28,30,4480,3080,79.338785,31,29,0.043086,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.066854,1,LOW,0.05,Generic
tcp,-,FIN,14,12,774,642,29.388495,254,252,0.233251,1,CRITICAL,0.05,Fuzzers
tcp,-,FIN,60,62,3614,50036,3195.900732,31,29,0.043653,0,NORMAL,0.05,Normal
tcp,smtp,FIN,364,62,487374,2902,120.243482,62,252,0.056626,1,LOW,0.05,Exploits
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.100921,1,MEDIUM,0.05,Generic
tcp,-,FIN,48,50,2974,30506,4418.933224,31,29,0.021239,0,NORMAL,0.05,Normal
unas,-,INT,2,0,200,0,333333.3215,254,0,0.255998,1,CRITICAL,0.05,Exploits
tcp,http,FIN,14,18,1684,10168,28.889908,31,29,0.033964,0,NORMAL,0.05,Normal
unas,-,INT,2,0,200,0,1000000.003,254,0,0.060444,1,LOW,0.05,DoS
udp,dns,INT,2,0,114,0,333333.3215,254,0,0.167264,1,HIGH,0.05,Generic
udp,-,INT,2,0,168,0,111111.1072,254,0,0.157856,1,HIGH,0.05,Reconnaissance
tcp,-,FIN,10,6,2516,268,28.81324,254,252,0.014019,0,NORMAL,0.05,Normal
tcp,-,FIN,10,8,496,354,12.832736,254,252,0.065345,1,LOW,0.05,Exploits
tcp,ssh,FIN,108,114,9504,12298,60.849744,31,29,0.022332,0,NORMAL,0.05,Normal
tcp,-,FIN,14,10,5158,786,15.715202,254,252,0.25595,1,CRITICAL,0.05,Fuzzers
udp,dns,INT,2,0,114,0,100000.0025,254,0,0.278633,1,CRITICAL,0.05,Generic
udp,-,CON,4,4,528,304,194.093991,31,29,0.04243,0,NORMAL,0.05,Normal
tcp,http,FIN,10,6,914,268,28.837115,254,252,0.248541,1,CRITICAL,0.05,Exploits
udp,dns,INT,2,0,114,0,250000.0006,254,0,0.189585,1,HIGH,0.05,Generic
tcp,-,FIN,16,18,1540,1644,1815.481022,31,29,0.008809,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.243685,1,CRITICAL,0.05,Generic
tcp,-,FIN,16,18,1540,1644,1992.27235,31,29,0.031733,0,NORMAL,0.05,Normal
udp,dns,CON,2,2,146,178,2895.752973,31,29,0.041751,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.228259,1,CRITICAL,0.05,Generic
tcp,http,FIN,10,8,858,1110,31.014768,62,252,0.024711,0,NORMAL,0.05,Normal
unas,-,INT,2,0,200,0,200000.0051,254,0,0.234609,1,CRITICAL,0.05,Backdoor
udp,dns,INT,2,0,114,0,500000.0013,254,0,0.060224,1,LOW,0.05,Generic
tcp,-,FIN,10,8,534,354,17.991588,254,252,0.02581,0,NORMAL,0.05,Normal
tcp,ftp,CON,14,12,690,950,25.915974,62,252,0.018738,0,NORMAL,0.05,Normal
unas,-,INT,2,0,200,0,111111.1072,254,0,0.249038,1,CRITICAL,0.05,Exploits
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.15234,1,HIGH,0.05,Generic
tcp,http,FIN,12,18,1580,10168,28.867268,31,29,0.041535,0,NORMAL,0.05,Normal
any,-,INT,2,0,200,0,125000.0003,254,0,0.24011,1,CRITICAL,0.05,DoS
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.121625,1,MEDIUM,0.05,Generic
tcp,-,FIN,10,8,534,354,16.009071,254,252,0.018146,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.060577,1,LOW,0.05,Generic
tcp,smtp,FIN,48,24,40936,1806,23.188504,62,252,0.224338,1,CRITICAL,0.05,Exploits
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.271318,1,CRITICAL,0.05,Generic
tcp,-,FIN,10,6,534,268,26.322393,254,252,0.13476,1,HIGH,0.05,Fuzzers
tcp,-,FIN,14,12,774,642,23.945993,254,252,0.115583,1,MEDIUM,0.05,Fuzzers
udp,dns,INT,2,0,114,0,100000.0025,254,0,0.118973,1,MEDIUM,0.05,Generic
tcp,-,FIN,10,6,524,268,21.353712,254,252,0.017219,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.194748,1,HIGH,0.05,Generic
tcp,-,FIN,20,22,4120,2664,266.921866,31,29,0.016381,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.16549,1,HIGH,0.05,Generic
tcp,-,FIN,10,6,910,268,19.289081,254,252,0.011715,0,NORMAL,0.05,Normal
udp,-,INT,2,0,168,0,83333.33039,254,0,0.227669,1,CRITICAL,0.05,Reconnaissance
udp,-,INT,2,0,78,0,111111.1072,254,0,0.030101,0,NORMAL,0.05,Normal
tcp,-,FIN,12,10,2832,621,73.737508,254,252,0.079758,1,MEDIUM,0.05,Exploits
udp,dns,CON,2,2,146,178,2795.899292,31,29,0.028819,0,NORMAL,0.05,Normal
tcp,-,FIN,50,48,3062,32538,4065.89272,31,29,0.028471,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,125000.0003,254,0,0.153786,1,HIGH,0.05,Generic
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.162957,1,HIGH,0.05,Generic
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.188583,1,HIGH,0.05,Generic
unas,-,INT,2,0,200,0,333333.3215,254,0,0.253307,1,CRITICAL,0.05,Exploits
wb-mon,-,INT,2,0,200,0,111111.1072,254,0,0.121312,1,MEDIUM,0.05,Exploits
tcp,http,FIN,10,8,832,1842,18.922003,62,252,0.241557,1,CRITICAL,0.05,Exploits
udp,dns,INT,2,0,114,0,500000.0013,254,0,0.168027,1,HIGH,0.05,Generic
tcp,http,FIN,14,32,984,34374,54.927885,62,252,0.142261,1,HIGH,0.05,Exploits
tcp,-,FIN,68,70,4014,59460,2987.483134,31,29,0.027811,0,NORMAL,0.05,Normal
udp,-,INT,2,0,168,0,66666.66835,254,0,0.064159,1,LOW,0.05,Reconnaissance
tcp,-,FIN,10,8,564,354,14.850975,254,252,0.188761,1,HIGH,0.05,Reconnaissance
tcp,-,FIN,26,70,1346,72692,55.302362,62,252,0.266207,1,CRITICAL,0.05,Exploits
tcp,ftp,FIN,20,22,1084,1648,47.829977,62,252,0.122757,1,MEDIUM,0.05,Exploits
tcp,-,FIN,10,8,554,354,12.324895,254,252,0.012135,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,100000.0025,254,0,0.19257,1,HIGH,0.05,Generic
tcp,http,FIN,10,8,808,1330,30.365384,62,252,0.148627,1,HIGH,0.05,Analysis
udp,-,INT,2,0,104,0,100000.0025,254,0,0.119434,1,MEDIUM,0.05,Fuzzers
tcp,-,FIN,10,6,628,268,27.065162,254,252,0.030622,0,NORMAL,0.05,Normal
unas,-,INT,2,0,200,0,111111.1072,254,0,0.248397,1,CRITICAL,0.05,DoS
udp,dns,INT,2,0,114,0,200000.0051,254,0,0.100891,1,MEDIUM,0.05,Generic
udp,dns,CON,2,2,146,178,2884.615377,31,29,0.030413,0,NORMAL,0.05,Normal
crudp,-,INT,2,0,200,0,111111.1072,254,0,0.190632,1,HIGH,0.05,DoS
udp,dns,INT,2,0,114,0,333333.3215,254,0,0.07302,1,LOW,0.05,Generic
unas,-,INT,2,0,200,0,333333.3215,254,0,0.06288,1,LOW,0.05,Exploits
tcp,http,FIN,10,8,1794,1066,15.585649,254,252,0.205947,1,CRITICAL,0.05,Exploits
unas,-,INT,2,0,200,0,111111.1072,254,0,0.164166,1,HIGH,0.05,Exploits
tcp,-,FIN,24,18,2108,1568,0.961032,254,252,0.223639,1,CRITICAL,0.05,Fuzzers
udp,dns,INT,2,0,114,0,200000.0051,254,0,0.109552,1,MEDIUM,0.05,Generic
udp,dns,INT,2,0,114,0,333333.3215,254,0,0.071921,1,LOW,0.05,Generic
udp,-,INT,2,0,104,0,166666.6608,254,0,0.020483,0,NORMAL,0.05,Normal
tcp,-,FIN,10,8,564,354,15.115559,254,252,0.148777,1,HIGH,0.05,Reconnaissance
tcp,http,FIN,8,10,1044,824,4253.189962,31,29,0.022434,0,NORMAL,0.05,Normal
tcp,-,FIN,60,62,3598,48710,1177.569766,31,29,0.017269,0,NORMAL,0.05,Normal
udp,dns,INT,2,0,114,0,111111.1072,254,0,0.128533,1,HIGH,0.05,Generic
tcp,http,FIN,10,6,946,268,25.779574,254,252,0.273186,1,CRITICAL,0.05,Exploits
